method,backend,latency_us,latency_stddev,throughput_ops_sec,speedup,correct,notes
CPU Direct,CPU Scalar,36.3938,2.27435,27477.2,1,true,""
Ray Tracing BVH,Ray Tracing,42.7487,2.9324,23392.5,0.851341,true,"BVH traversal"
