method,backend,latency_us,latency_stddev,throughput_ops_sec,speedup,correct,notes
Sequential,CPU Scalar,426.501,17.768,2344.66,1,true,""
Parallel NTTs,Hybrid,275.395,30.7294,3631.14,1.54869,true,"2 threads for NTTs"
